192.168.2.27,0:0:0:0:0:0:0:1 | https | o@1C6OIW1x914x5832962x0 | {user} | 2021-09-09 15:14:55,420 | "GET /rest/menu/latest/appswitcher HTTP/1.0" | "https://bitbucket.{site}/plugins/servlet/webhooks/projects/WEB/repos/{repo}" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36" | 200 | 0 | 538 | - | 7 | eojh11 | 
192.168.2.27,127.0.0.1 | https | i@1C6OIW1x914x5832963x0 | - | 2021-09-09 15:14:55,429 | "GET /rest/api/latest/projects/WEB/repos/{repo}/webhooks HTTP/1.0" | "https://bitbucket.{site}/plugins/servlet/webhooks/projects/WEB/repos/{repo}" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36" | - | - | - | - | - | eojh11 | 
192.168.2.27,0:0:0:0:0:0:0:1 | https | i@1C6OIW1x914x5832964x1 | - | 2021-09-09 15:14:55,438 | "GET /rest/api/latest/inbox/pull-requests/count HTTP/1.0" | "https://bitbucket.{site}/plugins/servlet/webhooks/projects/WEB/repos/{repo}" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36" | - | - | - | - | - | eojh11 | 
192.168.2.27,0:0:0:0:0:0:0:1 | https | o@1C6OIW1x914x5832964x1 | {user} | 2021-09-09 15:14:55,442 | "GET /rest/api/latest/inbox/pull-requests/count HTTP/1.0" | "https://bitbucket.{site}/plugins/servlet/webhooks/projects/WEB/repos/{repo}" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36" | 200 | 0 | 11 | - | 4 | eojh11 | 
192.168.2.27,127.0.0.1 | https | o@1C6OIW1x914x5832963x0 | {user} | 2021-09-09 15:14:55,448 | "GET /rest/api/latest/projects/WEB/repos/{repo}/webhooks HTTP/1.0" | "https://bitbucket.{site}/plugins/servlet/webhooks/projects/WEB/repos/{repo}" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36" | 200 | 0 | 2700 | - | 18 | eojh11 | 
192.168.2.27,127.0.0.1 | https | i@1C6OIW1x914x5832965x0 | - | 2021-09-09 15:14:55,458 | "GET /rest/api/latest/profile/recent/repos HTTP/1.0" | "https://bitbucket.{site}/plugins/servlet/webhooks/projects/WEB/repos/{repo}" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36" | - | - | - | - | - | eojh11 | 
192.168.2.27,127.0.0.1 | https | o@1C6OIW1x914x5832965x0 | {user} | 2021-09-09 15:14:55,466 | "GET /rest/api/latest/profile/recent/repos HTTP/1.0" | "https://bitbucket.{site}/plugins/servlet/webhooks/projects/WEB/repos/{repo}" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36" | 200 | 0 | 6990 | - | 8 | eojh11 | 
192.168.6.81,0:0:0:0:0:0:0:1 | https | i@1C6OIW1x914x5832966x0 | - | 2021-09-09 15:14:56,570 | "GET /scm/stud/{unrelated_repo}.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | - | - | - | - | - | - | 
192.168.6.81,0:0:0:0:0:0:0:1 | https | o@1C6OIW1x914x5832966x0 | - | 2021-09-09 15:14:56,572 | "GET /scm/stud/{unrelated_repo}.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | 401 | 0 | 0 | - | 1 | - | 
192.168.6.81,127.0.0.1 | https | i@1C6OIW1x914x5832967x0 | - | 2021-09-09 15:14:56,797 | "GET /scm/stud/{unrelated_repo}.git/info/refs HTTP/1.0" | "" "git/2.24.1.windows.2" | - | - | - | - | - | - | 
